Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00340918, 0.00198305, 0.00142257, 9.3813e-05, 566, 19714, 1155
0.00231316, 0.00106633, 0.00124326, 0.000136559, 630, 20829, 2145
0.00195811, 0.00100934, 0.000944025, 7.0057e-05, 613, 20787, 1386
0.00228466, 0.0012872, 0.000993898, 7.9556e-05, 617, 20699, 1518
0.0021671, 0.000907215, 0.00125514, 0.000111623, 606, 20439, 1881
0.00189874, 0.000934526, 0.000961838, 7.9562e-05, 598, 20487, 1551
0.0025744, 0.00138219, 0.00118627, 0.000103313, 611, 21148, 1848
0.00206261, 0.00100934, 0.00104971, 9.4997e-05, 592, 20184, 1683
0.00325956, 0.00182393, 0.00143207, 0.000108057, 582, 19777, 1419
0.00208635, 0.000936901, 0.00114589, 0.000110428, 646, 21769, 1914
0.00230841, 0.00103546, 0.00126701, 0.000161489, 619, 20631, 3531
0.00383904, 0.00204004, 0.00179424, 0.000186434, 617, 21903, 2475
0.00311588, 0.000999836, 0.00211248, 0.000137745, 599, 22753, 2343
0.00297576, 0.0011637, 0.00180849, 8.3124e-05, 602, 23299, 1386
0.00259815, 0.000979649, 0.00161375, 9.3806e-05, 558, 20500, 1716
0.00372742, 0.00140357, 0.00232028, 0.000110427, 623, 24717, 2013
0.00338187, 0.00129195, 0.00208636, 7.0063e-05, 577, 23540, 1155
0.00460257, 0.00193911, 0.0026599, 7.4809e-05, 572, 22769, 1023
0.00302444, 0.00107108, 0.0019498, 6.2935e-05, 568, 22950, 1122
0.00513336, 0.000998648, 0.00200798, 5.9374e-05, 534, 20149, 990
0.00271333, 0.00088584, 0.00182393, 3.5625e-05, 525, 20992, 792
0.00300901, 0.000978461, 0.00202698, 7.006e-05, 528, 20609, 1254
0.00248297, 0.000818155, 0.00166125, 5.8189e-05, 492, 18966, 1089
0.00297101, 0.000957087, 0.00200917, 5.8186e-05, 528, 21971, 1122
0.00299476, 0.00104971, 0.00194149, 5.3436e-05, 505, 20860, 858
0.00275133, 0.00089059, 0.00185599, 4.3933e-05, 507, 19657, 825
0.00281664, 0.000858528, 0.00195336, 5.2249e-05, 487, 20297, 891
0.00312538, 0.00108177, 0.00204004, 5.3434e-05, 473, 18161, 891
0.00383073, 0.00167075, 0.00215642, 6.2935e-05, 479, 18447, 858
0.00530554, 0.00175387, 0.00354573, 6.5309e-05, 461, 17948, 825
0.00238678, 0.000702973, 0.00168025, 4.0372e-05, 413, 15201, 792
0.00324293, 0.00104615, 0.00219204, 4.631e-05, 445, 17983, 792
0.00431283, 0.00088109, 0.001628, 2.731e-05, 413, 16744, 627
0.00324175, 0.000982024, 0.00225735, 3.9186e-05, 407, 15443, 660
0.00278101, 0.000786095, 0.00199017, 4.3936e-05, 415, 16012, 858
0.00302326, 0.000945213, 0.00207448, 4.8683e-05, 416, 15237, 825
0.00296863, 0.000966587, 0.00199848, 4.156e-05, 408, 15904, 759
0.00259933, 0.000735034, 0.00185955, 3.6812e-05, 410, 16307, 561
0.00291876, 0.000889402, 0.00202461, 4.5125e-05, 386, 13908, 693
0.00432589, 0.0017978, 0.00252334, 4.7498e-05, 420, 16673, 594
0.00429502, 0.00149619, 0.00279526, 4.2748e-05, 393, 15349, 495
0.00388891, 0.00141426, 0.0024699, 3.9188e-05, 389, 14725, 495
0.00227872, 0.000794407, 0.00148075, 2.9687e-05, 385, 15013, 462
0.00291282, 0.000938088, 0.00197117, 2.8497e-05, 420, 16332, 528
0.00269908, 0.000758783, 0.00193674, 4.6309e-05, 400, 15900, 759
0.00247228, 0.000840717, 0.00162681, 3.9186e-05, 380, 15136, 792
0.00375473, 0.0014475, 0.00230366, 4.1561e-05, 384, 14846, 528
0.00257559, 0.000738595, 0.00183224, 1.4249e-05, 400, 15815, 231
0.00382716, 0.00142613, 0.00239628, 4.8688e-05, 390, 15260, 528
0.00236066, 0.000679223, 0.00167668, 2.7311e-05, 410, 15326, 396
0.00238441, 0.000862091, 0.00151875, 3.2062e-05, 390, 15753, 495
0.00253759, 0.000782531, 0.00175149, 2.7312e-05, 413, 16377, 462
0.00237847, 0.000869216, 0.00150569, 2.6125e-05, 400, 16841, 495
0.00200561, 0.000710097, 0.00129076, 2.4937e-05, 387, 15729, 429
0.00221222, 0.000819343, 0.00138932, 2.1373e-05, 390, 15986, 297
0.00278933, 0.000926214, 0.00185955, 3.7999e-05, 416, 17718, 561
0.00244259, 0.000844279, 0.00159475, 2.8497e-05, 396, 16880, 396
0.00458951, 0.00212435, 0.00245921, 5.4623e-05, 427, 17687, 462
0.0024699, 0.000933338, 0.00153181, 2.1373e-05, 414, 18136, 363
0.00276558, 0.00108177, 0.00168025, 2.3749e-05, 442, 18835, 363
0.00364667, 0.00199017, 0.00165175, 5.5809e-05, 459, 19221, 726
0.00212554, 0.000868028, 0.00125632, 3.3251e-05, 412, 17674, 693
0.00399103, 0.00210536, 0.00187974, 5.5809e-05, 425, 17918, 660
0.00229179, 0.000917901, 0.00136913, 1.3063e-05, 440, 19493, 231
0.00271808, 0.00115895, 0.00155675, 2.8499e-05, 421, 17832, 462
0.0021766, 0.000932151, 0.0012397, 3.7998e-05, 460, 19523, 627
0.00229179, 0.000973711, 0.00131451, 2.9686e-05, 422, 18708, 462
0.00372623, 0.0019118, 0.00181087, 4.2749e-05, 456, 19125, 528
0.00239034, 0.00105208, 0.0013347, 3.3248e-05, 457, 20140, 528
0.00207329, 0.00103665, 0.00103308, 2.2563e-05, 422, 17664, 363
0.00303394, 0.00171468, 0.00131451, 1.5438e-05, 462, 19182, 264
0.00242003, 0.00114589, 0.00127057, 2.9684e-05, 455, 19094, 528
0.0018453, 0.00088584, 0.000955899, 1.5437e-05, 412, 16857, 297
0.00229178, 0.0010604, 0.00122783, 2.7313e-05, 482, 20902, 462
0.00244734, 0.00113996, 0.00130264, 2.1372e-05, 437, 19263, 363
0.00198542, 0.000869215, 0.00111145, 1.6625e-05, 447, 18424, 330
0.00370367, 0.00202342, 0.0016755, 1.9e-05, 439, 19335, 231
0.00183461, 0.000942837, 0.000888214, 1.7811e-05, 437, 17401, 297
0.00202223, 0.000870403, 0.00114827, 7.126e-06, 463, 19097, 165
0.00315506, 0.00173368, 0.00141544, 2.6124e-05, 449, 18000, 330
0.00272877, 0.00166481, 0.0010604, 4.5121e-05, 428, 17095, 561
0.00208517, 0.000957087, 0.00112452, 2.375e-05, 486, 19955, 429
0.00203529, 0.00115658, 0.000873965, 2.1375e-05, 453, 18750, 429
0.00220272, 0.00130857, 0.00089059, 2.2562e-05, 436, 16880, 396
0.00170281, 0.00082528, 0.000872778, 2.9687e-05, 431, 17498, 627
0.00374048, 0.000989148, 0.00118983, 8.7873e-05, 461, 18940, 2343
0.00279883, 0.00125514, 0.00154013, 9.4995e-05, 443, 18836, 1980
0.00246159, 0.00105208, 0.00140594, 7.006e-05, 451, 18134, 1716
0.00222885, 0.000954713, 0.00127176, 9.3806e-05, 440, 17121, 2013
0.00226803, 0.00105802, 0.00120645, 7.3622e-05, 471, 18811, 1617
0.00231197, 0.00100577, 0.00130145, 8.4311e-05, 437, 18057, 1683
0.00177643, 0.000781344, 0.000991523, 8.906e-05, 457, 16930, 1749
0.00193674, 0.000776594, 0.00115777, 0.000103309, 466, 18135, 2079
0.00209942, 0.000764719, 0.00133114, 8.5495e-05, 455, 17532, 1386
0.00211604, 0.000919088, 0.00119339, 7.9562e-05, 437, 15857, 1485
0.00214217, 0.000921464, 0.00121714, 7.2433e-05, 483, 18904, 1518
0.00296507, 0.00190705, 0.00105208, 6.0559e-05, 426, 17041, 1023
0.00227516, 0.00106752, 0.00120408, 7.4809e-05, 464, 16726, 1353
0.00183818, 0.000834779, 0.000999836, 6.65e-05, 433, 16689, 1287
0.00206379, 0.00102833, 0.00103071, 8.1935e-05, 459, 16850, 1650
0.00201273, 0.000860903, 0.00114708, 8.9056e-05, 465, 17090, 1815
0.00391978, 0.000995085, 0.00150569, 0.000110435, 451, 16544, 1716
0.00215285, 0.000919088, 0.0012302, 7.2436e-05, 431, 15739, 1485
0.00423208, 0.00197473, 0.00225022, 0.000105686, 474, 18687, 1320
0.00219798, 0.000756407, 0.00143801, 8.6681e-05, 432, 16378, 1716
0.00343886, 0.00169212, 0.00174199, 0.00014487, 459, 16327, 1848
0.00193555, 0.000846654, 0.00108414, 5.7e-05, 410, 15835, 1155
0.00217185, 0.000827655, 0.00134063, 8.7875e-05, 475, 18178, 1749
0.00245565, 0.00102952, 0.00142257, 6.7684e-05, 434, 16754, 1221
0.00210417, 0.000907214, 0.0011922, 5.6998e-05, 446, 16504, 1023
